kommun,kommunkod,lan,valkrets
Timrå,2262,Västernorrland,Västernorrlands län
Tingsryd,0763,Kronoberg,Kronobergs län
Tjörn,1419,Västra Götaland,Västra Götalands läns västra
Tomelilla,1270,Skåne,Skåne läns södra
Torsby,1737,Värmland,Värmlands län
Torsås,0834,Kalmar,Kalmar län
Tranemo,1452,Västra Götaland,Västra Götalands läns södra
Tranås,0687,Jönköping,Jönköpings län
Trelleborg,1287,Skåne,Skåne läns södra
Trollhättan,1488,Västra Götaland,Västra Götalands läns norra
Trosa,0488,Södermanland,Södermanlands län
Tyresö,0138,Stockholm,Stockholms län
Täby,0160,Stockholm,Stockholms län
Töreboda,1473,Västra Götaland,Västra Götalands läns östra
Uddevalla,1485,Västra Götaland,Västra Götalands läns norra
Ulricehamn,1491,Västra Götaland,Västra Götalands läns södra
Umeå,2480,Västerbotten,Västerbottens län
Upplands Väsby,0114,Stockholm,Stockholms län
Upplands-Bro,0139,Stockholm,Stockholms län
Uppsala,0380,Uppsala,Uppsala län
Uppvidinge,0760,Kronoberg,Kronobergs län
Vadstena,0584,Östergötland,Östergötlands län
Vaggeryd,0665,Jönköping,Jönköpings län
Valdemarsvik,0563,Östergötland,Östergötlands län
Vallentuna,0115,Stockholm,Stockholms län
Vansbro,2021,Dalarna,Dalarnas län
Vara,1470,Västra Götaland,Västra Götalands läns östra
Varberg,1383,Halland,Hallands län
Vaxholm,0187,Stockholm,Stockholms län
Vellinge,1233,Skåne,Skåne läns södra
Vetlanda,0685,Jönköping,Jönköpings län
Vilhelmina,2462,Västerbotten,Västerbottens län
Vimmerby,0884,Kalmar,Kalmar län
Vindeln,2404,Västerbotten,Västerbottens län
Vingåker,0428,Södermanland,Södermanlands län
Vänersborg,1487,Västra Götaland,Västra Götalands läns norra
Vännäs,2460,Västerbotten,Västerbottens län
Värmdö,0120,Stockholm,Stockholms län
Värnamo,0683,Jönköping,Jönköpings län
Västervik,0883,Kalmar,Kalmar län
Västerås,1980,Västmanland,Västmanlands län
Växjö,0780,Kronoberg,Kronobergs län
Vårgårda,1442,Västra Götaland,Västra Götalands läns södra
Ydre,0512,Östergötland,Östergötlands län
Ystad,1286,Skåne,Skåne läns södra
Älmhult,0765,Kronoberg,Kronobergs län
Älvdalen,2039,Dalarna,Dalarnas län
Älvkarleby,0319,Uppsala,Uppsala län
Älvsbyn,2560,Norrbotten,Norrbottens län
Ängelholm,1292,Skåne,Skåne läns västra
Åmål,1492,Västra Götaland,Västra Götalands läns norra
Ånge,2260,Västernorrland,Västernorrlands län
Åre,2321,Jämtland,Jämtlands län
Årjäng,1765,Värmland,Värmlands län
Åsele,2463,Västerbotten,Västerbottens län
Åstorp,1277,Skåne,Skåne läns västra
Åtvidaberg,0561,Östergötland,Östergötlands län
Öckerö,1407,Västra Götaland,Västra Götalands läns västra
Ödeshög,0509,Östergötland,Östergötlands län
Örebro,1880,Örebro,Örebro län
Örkelljunga,1257,Skåne,Skåne läns västra
Örnsköldsvik,2284,Västernorrland,Västernorrlands län
Östersund,2380,Jämtland,Jämtlands län
Österåker,0117,Stockholm,Stockholms län
Östhammar,0382,Uppsala,Uppsala län
Östra Göinge,1256,Skåne,Skåne läns norra och östra
Överkalix,2513,Norrbotten,Norrbottens län
Övertorneå,2518,Norrbotten,Norrbottens län
