institut,datum,urval,urval_skattat,V,S,MP,C,L,M,KD,SD
Sentio,2020-06-15,1000,True,9.7,28.8,3.9,6.4,2.9,18.6,5.9,20.7
Novus,2020-06-15,1800,True,9.4,30.6,3.4,7.8,3.0,20.7,5.7,18.4
Ipsos,2020-06-15,1500,True,9.0,31.0,3.0,7.0,4.0,17.0,7.0,20.0
Demoskop / Inizio,2020-06-15,1200,True,8.2,27.8,3.9,9.7,2.7,20.9,6.5,19.3
Sifo,2020-06-15,1200,True,9.6,30.0,3.5,7.0,3.4,19.5,6.8,18.9
Skop,2020-06-15,1200,True,10.5,31.3,3.7,6.6,3.6,20.3,5.8,17.0
Ipsos,2020-05-15,1500,True,9.0,31.0,4.0,7.0,3.0,20.0,6.0,20.0
Sifo,2020-05-15,1200,True,9.0,31.7,3.9,7.2,3.4,18.6,6.1,18.9
Novus,2020-05-15,1800,True,9.4,31.5,4.1,8.1,3.0,19.2,5.5,18.0
SCB,2020-05-15,9000,True,8.2,33.7,4.1,6.0,3.3,20.1,6.4,17.1
Sentio,2020-05-15,1000,True,9.2,28.2,3.5,4.7,3.1,19.4,7.8,22.2
Demoskop / Inizio,2020-05-15,1200,True,7.2,30.1,3.3,10.0,2.7,20.7,6.5,18.8
Skop,2020-05-15,1200,True,9.7,32.6,2.6,7.0,4.4,20.4,5.2,16.3
Demoskop / Inizio,2020-04-15,1200,True,7.7,27.9,4.0,10.0,3.0,19.2,6.7,20.8
Sifo,2020-04-15,1200,True,9.4,30.6,3.5,6.9,3.8,19.2,5.9,19.5
Novus,2020-04-15,1800,True,9.5,30.4,3.8,7.7,2.8,18.7,6.1,19.7
Sentio,2020-04-15,1000,True,9.0,27.5,4.1,5.8,3.4,18.7,5.4,24.2
Ipsos,2020-04-15,1500,True,9.0,29.0,4.0,7.0,4.0,18.0,6.0,21.0
Novus,2020-03-15,1800,True,9.8,25.6,4.5,8.1,3.8,18.0,6.5,22.0
Sentio,2020-03-15,1000,True,10.5,22.0,5.2,5.8,2.3,19.5,7.1,24.9
Ipsos,2020-03-15,1500,True,12.0,25.0,4.0,7.0,5.0,19.0,6.0,22.0
Sifo,2020-03-15,1200,True,11.2,23.8,4.0,8.4,4.1,18.0,6.8,22.3
Demoskop / Inizio,2020-03-15,1200,True,10.4,22.6,3.1,9.4,4.1,19.5,7.5,22.1
Sifo,2020-02-15,1200,True,11.4,23.6,4.2,8.1,4.4,17.5,6.1,23.3
Ipsos,2020-02-15,1500,True,11.0,22.0,5.0,8.0,4.0,18.0,8.0,23.0
Sentio,2020-02-15,1000,True,11.1,21.5,3.6,7.9,1.8,19.6,5.3,27.8
Demoskop / Inizio,2020-02-15,1200,True,9.3,24.7,3.8,8.9,3.2,18.9,6.3,23.5
Novus,2020-02-15,1800,True,10.9,23.2,4.5,8.1,3.9,18.0,5.9,23.9
Skop,2020-01-15,1200,True,10.7,23.1,4.1,9.6,3.8,17.4,6.7,23.3
Sentio,2020-01-15,1000,True,9.7,22.1,4.0,7.0,2.4,16.6,7.8,28.8
Sifo,2020-01-15,1200,True,10.2,23.5,4.5,8.5,3.9,17.5,6.6,23.8
Novus,2020-01-15,1800,True,10.4,24.2,4.6,8.7,3.5,18.3,6.1,22.6
Demoskop / Inizio,2020-01-15,1200,True,9.0,23.4,4.8,9.5,3.1,18.2,5.9,24.5
Ipsos,2020-01-15,1500,True,11.0,23.0,4.0,9.0,4.0,17.0,7.0,24.0
Sifo,2019-12-15,1200,True,9.7,24.6,4.7,8.0,4.0,17.2,6.0,24.4
Novus,2019-12-15,1800,True,9.9,23.7,5.0,8.3,3.5,17.9,6.2,24.0
Ipsos,2019-12-15,1500,True,10.0,25.0,5.0,8.0,5.0,16.0,6.0,24.0
Demoskop / Inizio,2019-12-15,1200,True,7.9,24.3,4.4,9.6,3.9,17.5,5.9,25.4
Sentio,2019-12-15,1000,True,10.1,21.1,4.5,6.8,3.2,16.5,6.3,29.1
Sifo,2019-11-15,1200,True,9.7,24.4,4.7,8.3,3.5,17.0,7.8,23.0
SCB,2019-11-15,9000,True,8.1,26.3,5.1,7.3,4.1,18.3,6.6,22.6
Ipsos,2019-11-15,1500,True,8.0,25.0,5.0,8.0,3.0,17.0,7.0,25.0
Demoskop / Inizio,2019-11-15,1200,True,9.8,22.2,4.8,7.7,3.9,17.8,7.6,24.0
Sentio,2019-11-15,1000,True,8.5,22.5,4.9,7.0,2.5,16.9,6.8,28.5
Novus,2019-11-15,1800,True,9.3,26.0,4.8,7.8,3.4,18.3,7.1,21.5
Demoskop / Inizio,2019-10-15,1200,True,8.0,24.7,4.2,10.1,3.2,19.3,6.5,22.6
Sentio,2019-10-15,1000,True,9.6,24.2,4.2,6.4,4.7,16.8,6.4,25.4
Ipsos,2019-10-15,1500,True,10.0,24.0,5.0,8.0,4.0,16.0,8.0,23.0
Demoskop,2019-10-15,1600,True,8.6,23.1,5.0,8.3,3.9,19.5,6.6,22.9
Sifo,2019-10-15,1200,True,9.2,24.9,5.0,8.4,3.9,17.7,6.7,22.7
Novus,2019-10-15,1800,True,8.4,25.8,5.0,8.5,3.7,19.5,7.0,20.5
Demoskop,2019-09-15,1600,True,8.8,24.0,4.9,8.4,4.6,19.4,6.5,21.4
Ipsos,2019-09-15,1500,True,9.0,26.0,5.0,9.0,5.0,19.0,7.0,19.0
Novus,2019-09-15,1800,True,9.2,24.7,4.9,8.0,3.5,20.4,6.8,20.7
Sifo,2019-09-15,1200,True,8.5,25.8,5.1,8.6,4.2,18.9,7.3,20.2
Sentio,2019-09-15,1000,True,9.4,23.9,3.9,6.1,3.9,17.1,6.0,27.5
Demoskop / Inizio,2019-09-15,1200,True,8.5,23.9,4.2,9.9,3.5,19.0,6.0,22.4
Demoskop / Inizio,2019-08-30,1200,True,7.9,25.5,4.2,9.4,4.2,18.3,7.7,21.0
Novus,2019-08-15,1800,True,9.0,26.3,5.6,9.4,3.7,18.5,7.2,18.4
Sifo,2019-08-15,1200,True,8.7,26.8,4.9,8.8,3.8,19.1,8.4,18.2
Ipsos,2019-08-15,1500,True,10.0,26.0,6.0,8.0,5.0,17.0,7.0,19.0
Sentio,2019-08-15,1000,True,10.5,23.2,4.7,6.1,5.4,18.3,5.8,23.5
Demoskop / Inizio,2019-08-13,1200,True,8.5,25.6,3.6,10.3,3.6,19.6,7.3,19.7
Demoskop,2019-07-15,1600,True,7.9,25.9,5.3,9.3,4.1,17.6,8.0,19.6
Skop,2019-07-15,1200,True,8.9,25.6,4.7,9.5,5.7,17.0,9.2,18.0
Novus,2019-06-27,1800,True,9.0,26.7,5.9,10.1,3.6,18.8,7.7,16.7
Demoskop / Inizio,2019-06-15,1200,True,8.3,25.4,5.0,9.4,3.6,19.7,7.0,19.4
Ipsos,2019-06-15,1500,True,10.0,25.0,5.0,9.0,5.0,17.0,8.0,19.0
Demoskop,2019-06-15,1600,True,8.0,27.1,5.1,8.9,3.8,18.2,7.5,19.9
Sifo,2019-06-15,1200,True,8.6,26.5,4.9,8.8,3.7,18.4,9.5,18.1
Sentio,2019-06-15,1000,True,8.8,25.7,4.8,7.4,3.7,17.0,7.9,21.8
Novus,2019-06-06,1800,True,9.0,25.9,5.5,8.7,4.1,17.7,10.0,17.6
Demoskop / Inizio,2019-05-31,1200,True,8.3,26.1,4.4,10.1,3.0,18.2,9.0,18.4
Sifo,2019-05-15,1200,True,8.9,27.0,4.5,8.2,3.8,15.9,12.0,18.1
Novus,2019-05-15,1800,True,8.8,26.4,4.6,8.8,3.5,18.0,10.7,17.8
SCB,2019-05-15,9000,True,8.7,27.6,5.6,6.9,3.7,16.0,13.0,17.1
Sentio,2019-05-15,1000,True,10.1,25.0,4.7,6.8,3.3,15.5,10.4,21.2
Demoskop,2019-05-15,1600,True,8.7,26.6,4.3,9.1,3.1,15.7,11.5,19.2
Ipsos,2019-05-15,1500,True,10.0,26.0,4.0,9.0,4.0,16.0,12.0,17.0
Skop,2019-05-15,1200,True,10.5,25.3,3.7,9.6,4.0,16.4,12.8,16.9
Demoskop / Inizio,2019-04-30,1200,True,9.5,25.6,3.9,9.3,4.2,15.7,11.4,18.6
Novus,2019-04-15,1800,True,9.7,27.2,3.5,8.2,3.7,17.5,10.6,18.1
Sentio,2019-04-15,1000,True,9.3,25.6,4.3,6.4,3.8,17.5,10.7,20.1
Demoskop,2019-04-15,1600,True,9.6,25.4,4.5,8.2,3.9,16.6,11.7,18.0
Sifo,2019-04-15,1200,True,8.7,27.3,4.6,7.5,3.4,16.0,12.2,18.9
Ipsos,2019-04-15,1500,True,10.0,27.0,4.0,8.0,4.0,16.0,12.0,17.0
Demoskop / Inizio,2019-03-29,1200,True,8.6,26.5,4.2,9.1,3.3,16.5,12.1,18.2
Sentio,2019-03-27,1000,True,10.2,24.7,3.9,6.1,3.1,17.4,12.7,19.2
Novus,2019-03-15,1800,True,9.1,28.2,4.0,7.3,3.5,18.3,8.6,19.3
Ipsos,2019-03-15,1500,True,10.0,27.0,4.0,8.0,4.0,18.0,9.0,19.0
Skop,2019-03-15,1200,True,8.8,28.7,3.1,9.5,4.2,18.0,10.1,16.5
Demoskop,2019-03-15,1600,True,9.3,25.8,4.1,7.5,3.0,18.4,10.6,19.4
Sifo,2019-03-15,1200,True,9.8,27.4,3.8,8.3,3.3,17.4,9.4,19.1
Sentio,2019-02-27,1000,True,10.5,26.5,3.4,5.5,2.6,18.3,9.4,21.4
