institut,datum,urval,svarsfrekvens,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,kalla
Verian,2026-01-06,984,,6.0,6.1,4.2,25.2,4.6,3.9,4.2,18.3,23.2,Wikipedia
Norfakta,2026-01-06,1005,,6.4,5.2,4.6,24.9,4.8,4.1,4.2,17.5,25.8,Wikipedia
InFact,2026-01-06,1018,,6.0,5.0,4.7,21.3,5.6,3.0,4.0,15.0,31.9,Wikipedia
Opinion,2025-12-11,1000,82.0,7.6,4.5,3.7,25.1,5.8,3.2,2.9,18.1,25.2,Wikipedia
Norstat,2025-12-10,1000,,6.4,5.2,4.5,24.1,4.4,4.0,3.0,17.2,27.3,Wikipedia
Respons Analyse,2025-12-05,1000,,7.0,5.7,4.2,22.8,6.0,4.1,3.1,17.5,27.7,Wikipedia
Norfakta,2025-12-02,1000,,6.4,5.0,5.0,25.5,6.1,2.8,3.0,17.6,26.1,Wikipedia
InFact,2025-12-01,1096,,7.2,5.3,4.9,21.6,5.7,3.2,4.0,17.4,27.9,Wikipedia
Verian,2025-12-01,,,5.5,5.0,5.8,23.2,6.8,3.6,4.2,17.1,25.6,Wikipedia
Opinion,2025-11-28,1201,81.0,6.9,5.1,3.7,22.2,6.0,4.7,4.0,17.8,26.7,Wikipedia
Norstat,2025-11-18,999,,7.5,5.2,4.2,24.8,5.6,2.6,4.3,16.5,25.7,Wikipedia
Opinion,2025-11-13,1000,81.0,6.8,6.8,3.8,22.6,6.4,3.3,3.0,19.7,25.0,Wikipedia
Respons Analyse,2025-11-05,1000,,6.4,5.5,4.5,22.0,6.2,3.8,4.3,18.7,25.7,Wikipedia
InFact,2025-11-05,,,7.4,4.9,3.7,22.3,5.9,3.7,4.3,16.9,27.1,Wikipedia
Norfakta,2025-11-04,1003,,6.2,4.7,5.1,24.3,5.4,3.2,3.7,16.6,27.3,Wikipedia
Opinion,2025-10-30,1001,83.0,6.1,5.1,4.9,23.9,6.1,2.5,3.4,17.0,26.8,Wikipedia
Verian,2025-10-29,1194,,6.3,5.8,4.1,25.0,5.5,4.6,5.7,15.9,23.3,Wikipedia
Norstat,2025-10-21,,,6.7,5.4,4.8,26.2,5.5,3.9,3.5,16.6,23.5,Wikipedia
Opinion,2025-10-16,1000,83.0,6.9,7.0,3.8,24.8,5.4,4.3,4.8,16.2,23.2,Wikipedia
Respons Analyse,2025-10-10,1002,,5.7,6.0,4.1,28.4,5.1,4.2,3.6,14.9,25.0,Wikipedia
Norfakta,2025-10-07,1006,90.0,5.9,4.9,4.5,29.0,4.5,3.4,4.4,15.1,25.5,Wikipedia
InFact,2025-10-06,1094,,5.6,5.5,5.5,28.8,4.8,2.8,4.6,13.9,25.3,Wikipedia
Verian,2025-10-01,992,,6.2,5.8,4.4,29.4,5.9,4.2,4.1,15.0,21.6,Wikipedia
